,Province_State,Date,Confirmed_Cases
0,Alabama,2020-01-22,0
1,Alaska,2020-01-22,0
2,American Samoa,2020-01-22,0
3,Arizona,2020-01-22,0
4,Arkansas,2020-01-22,0
5,California,2020-01-22,0
6,Colorado,2020-01-22,0
7,Connecticut,2020-01-22,0
8,Delaware,2020-01-22,0
9,Diamond Princess,2020-01-22,0
10,District of Columbia,2020-01-22,0
11,Florida,2020-01-22,0
12,Georgia,2020-01-22,0
13,Grand Princess,2020-01-22,0
14,Guam,2020-01-22,0
15,Hawaii,2020-01-22,0
16,Idaho,2020-01-22,0
17,Illinois,2020-01-22,0
18,Indiana,2020-01-22,0
19,Iowa,2020-01-22,0
20,Kansas,2020-01-22,0
21,Kentucky,2020-01-22,0
22,Louisiana,2020-01-22,0
23,Maine,2020-01-22,0
24,Maryland,2020-01-22,0
25,Massachusetts,2020-01-22,0
26,Michigan,2020-01-22,0
27,Minnesota,2020-01-22,0
28,Mississippi,2020-01-22,0
29,Missouri,2020-01-22,0
30,Montana,2020-01-22,0
31,Nebraska,2020-01-22,0
32,Nevada,2020-01-22,0
33,New Hampshire,2020-01-22,0
34,New Jersey,2020-01-22,0
35,New Mexico,2020-01-22,0
36,New York,2020-01-22,0
37,North Carolina,2020-01-22,0
38,North Dakota,2020-01-22,0
39,Northern Mariana Islands,2020-01-22,0
40,Ohio,2020-01-22,0
41,Oklahoma,2020-01-22,0
42,Oregon,2020-01-22,0
43,Pennsylvania,2020-01-22,0
44,Puerto Rico,2020-01-22,0
45,Rhode Island,2020-01-22,0
46,South Carolina,2020-01-22,0
47,South Dakota,2020-01-22,0
48,Tennessee,2020-01-22,0
49,Texas,2020-01-22,0
50,Utah,2020-01-22,0
51,Vermont,2020-01-22,0
52,Virgin Islands,2020-01-22,0
53,Virginia,2020-01-22,0
54,Washington,2020-01-22,1
55,West Virginia,2020-01-22,0
56,Wisconsin,2020-01-22,0
57,Wyoming,2020-01-22,0
58,Alabama,2020-01-23,0
59,Alaska,2020-01-23,0
60,American Samoa,2020-01-23,0
61,Arizona,2020-01-23,0
62,Arkansas,2020-01-23,0
63,California,2020-01-23,0
64,Colorado,2020-01-23,0
65,Connecticut,2020-01-23,0
66,Delaware,2020-01-23,0
67,Diamond Princess,2020-01-23,0
68,District of Columbia,2020-01-23,0
69,Florida,2020-01-23,0
70,Georgia,2020-01-23,0
